Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
13,Baseline,7,A,0.78,0.13,0.13,0.5875,3.0,0.71,0.7678160919540229,0.6685714285714285,0.7,0.7916666666666667
13,Frequency,1,A,0.59,-0.06000000000000005,0.06000000000000005,0.5,3.0,-0.16999999999999998,-0.5257142857142857,0.6616822429906543,0.9,0.5416666666666666
13,Frequency,2,A,1.34,0.6900000000000001,0.6900000000000001,0.8,2.0,-0.16999999999999998,-0.5257142857142857,1.5402298850574712,0.9,0.5416666666666666
13,Frequency,3,A,0.77,0.12,0.12,0.6,2.0,-0.16999999999999998,-0.5257142857142857,0.7623762376237624,0.9,0.5416666666666666
13,Frequency,4,A,0.19,-0.46,0.46,0.55,2.0,-0.16999999999999998,-0.5257142857142857,0.336283185840708,0.9,0.5416666666666666
13,Frequency,5,A,0.39,-0.26,0.26,0.45,2.0,-0.16999999999999998,-0.5257142857142857,0.6995515695067265,0.9,0.5416666666666666
13,Frequency,6,A,0.29,-0.36000000000000004,0.36000000000000004,0.35,2.0,-0.16999999999999998,-0.5257142857142857,0.6628571428571428,0.9,0.5416666666666666
13,Frequency,7,A,0.98,0.32999999999999996,0.32999999999999996,0.5,1.0,-0.16999999999999998,-0.5257142857142857,0.5568181818181818,0.9,0.5416666666666666
15,Baseline,1,A,0.5,-0.15000000000000002,0.15000000000000002,0.6,1.0,,,0.5555555555555556,0.7,0.55
15,Baseline,2,A,1.0,0.35,0.35,0.5,3.0,,,0.9090909090909091,0.7,0.55
15,Baseline,3,A,0.5,-0.15000000000000002,0.15000000000000002,0.65,2.0,,,0.5,0.7,0.55
15,Baseline,7,A,1.0,0.35,0.35,0.7125,2.0,,,0.9523809523809523,0.7,0.55
15,Frequency,1,A,0.5,-0.15000000000000002,0.15000000000000002,0.3,2.0,,,0.45454545454545453,0.6,0.5166666666666666
15,Frequency,2,A,1.0,0.35,0.35,0.7,2.0,,,0.8,0.6,0.5166666666666666
15,Frequency,3,A,0.75,0.09999999999999998,0.09999999999999998,0.6,2.0,,,0.6,0.6,0.5166666666666666
15,Frequency,4,A,0.75,0.09999999999999998,0.09999999999999998,0.65,2.0,,,0.5769230769230769,0.6,0.5166666666666666
15,Frequency,7,A,0.75,0.09999999999999998,0.09999999999999998,0.475,2.0,,,0.6,0.6,0.5166666666666666
17,Baseline,1,A,-0.09,-0.74,0.74,0.25,6.0,-0.87,-1.0668563300142249,-0.13186813186813187,0.35,0.575
