Subnum,AIC,BIC,model,Condition,t,alpha,scale,la,alpha_neg,weight
15,269.72252691968026,276.3191616527764,decay_win,Baseline,0.7093511,0.92192202,,,,
15,271.5310336670651,284.72430313325725,delta_asymmetric_decay_win,Baseline,0.919696974,0.60516031,,,0.0001,0.861112983
15,274.079533488995,280.6761682220911,delta,Frequency,0.38366514,0.74082798,,,,
15,273.52506339996194,286.71833286615407,delta_PVL,Frequency,0.567497127,0.887253274,0.9999,0.0001,,
15,273.344888027946,283.23984012759007,delta_asymmetric,Frequency,0.50478209,0.9999,,,0.41531799,
15,268.70073028922883,275.2973650223249,decay,Frequency,0.53463866,0.46960686,,,,
15,272.55985732729084,285.753126793483,decay_PVL,Frequency,0.52788002,0.40163372,0.9999,0.07619633,,
15,273.45761497963883,280.05424971273493,decay_win,Frequency,0.43577849,0.5102366,,,,
15,263.4299049885935,276.6231744547856,delta_asymmetric_decay_win,Frequency,0.972707711,0.414266159,,,0.0199146209,0.0001
16,271.1646961786133,277.7613309117094,delta,Baseline,1.00992465,0.06400834,,,,
16,275.0693930112593,288.26266247745144,delta_PVL,Baseline,1.162764,0.0536484645,0.9999,0.0001,,
16,272.9925002087107,282.8874523083548,delta_asymmetric,Baseline,1.21176781,0.0001,,,0.11285324,
16,262.04268442001825,268.63931915311434,decay,Baseline,0.5701899,0.31933242,,,,
16,261.6038509735903,274.7971204397824,decay_PVL,Baseline,0.45818276,0.276881508,0.0001,0.216141388,,
16,263.2006939135535,269.7973286466496,decay_win,Baseline,0.44928819,0.20572464,,,,
16,266.9705373058955,280.16380677208764,delta_asymmetric_decay_win,Baseline,0.442810151,0.292316739,,,0.997891739,0.0001
16,279.8725850326716,286.4692197657677,delta,Frequency,0.0001,0.0001,,,,
16,283.87257976115626,297.0658492273484,delta_PVL,Frequency,0.0001,0.0001,0.0001,0.0001,,
16,249.2127652796337,259.1077173792778,delta_asymmetric,Frequency,2.20317419,0.0852802669,,,0.0001,
16,233.16907761648807,239.7657123495842,decay,Frequency,0.56871269,0.16644287,,,,
16,228.3294024125536,241.5226718787457,decay_PVL,Frequency,0.06784177,0.00138577,0.0001,0.0001,,
16,200.5915391489557,207.18817388205176,decay_win,Frequency,0.99625674,0.25480075,,,,
16,176.51559100150075,189.7088604676929,delta_asymmetric_decay_win,Frequency,1.2314012,0.27164599,,,0.57663371,0.02454876
17,258.67561183216435,265.27224656526045,delta,Baseline,0.69345664,0.58311959,,,,
17,250.16040316922272,263.35367263541485,delta_PVL,Baseline,0.46070891,0.14890723,0.20457688,4.9999,,
17,254.19986807861395,264.09482017825803,delta_asymmetric,Baseline,0.81325684,0.9999,,,0.19757533,
17,271.8919698186146,278.4886045517107,decay,Baseline,0.15062403,0.08597898,,,,
17,259.3568356249662,272.55010509115834,decay_PVL,Baseline,0.0210547624,0.0001,0.0001,4.9999,,
17,275.5517014515166,282.1483361846127,decay_win,Baseline,0.06536981,0.0398678,,,,
17,239.50440963599,252.69767910218212,delta_asymmetric_decay_win,Baseline,3.26539655,0.0001,,,0.0231208654,0.861229688
17,275.5259940573234,282.12262879041947,delta,Frequency,0.29118621,0.9999,,,,
17,277.94232955730524,291.1355990234974,delta_PVL,Frequency,0.390905145,0.9999,0.9999,0.0001,,
17,277.3289202883124,287.2238723879565,delta_asymmetric,Frequency,0.32880915,0.9999,,,0.77943436,
17,269.0982644836442,275.6948992167403,decay,Frequency,0.51258153,0.36539077,,,,
17,272.43756301541646,285.6308324816086,decay_PVL,Frequency,0.50289452,0.35842495,0.95667252,2.19596291,,
17,268.37751084515804,274.97414557825414,decay_win,Frequency,0.52111551,0.38494726,,,,
17,269.1804776435448,282.37374710973694,delta_asymmetric_decay_win,Frequency,0.514227238,0.0001,,,0.979011169,0.659371784
18,277.3705240164937,283.96715874958977,delta,Baseline,0.37887377,0.24672339,,,,
18,279.1365226449645,292.3297921111566,delta_PVL,Baseline,0.201988805,0.14383594,0.0001,4.97796669,,
18,278.21591756845737,288.1108696681015,delta_asymmetric,Baseline,0.575903272,0.0001,,,0.376320195,
18,277.8833935698568,284.48002830295286,decay,Baseline,0.01471919,0.0001,,,,
18,279.6140615345525,292.8073310007446,decay_PVL,Baseline,0.0268258549,0.0314551126,0.0001,4.9999,,
18,278.5889483781851,285.1855831112812,decay_win,Baseline,0.02523385,0.0001,,,,
18,279.94081316487404,293.1340826310662,delta_asymmetric_decay_win,Baseline,0.619808549,0.0001,,,0.0477066753,0.862961202
18,279.87257882428685,286.46921355738294,delta,Frequency,0.0001,0.0001,,,,
18,283.59005978886063,296.7833292550528,delta_PVL,Frequency,0.14078276,0.18324808,0.66903143,4.9999,,
18,272.88645789452903,282.78140999417315,delta_asymmetric,Frequency,0.726778418,0.9999,,,0.0001,
18,271.5531638462517,278.1497985793478,decay,Frequency,0.03351014,0.0001,,,,
18,275.17084151626165,288.3641109824538,decay_PVL,Frequency,0.0344914662,0.0001,0.664889687,0.0001,,
18,274.46675439214306,281.06338912523915,decay_win,Frequency,0.04289323,0.0001,,,,
18,271.68811603057435,284.8813854967665,delta_asymmetric_decay_win,Frequency,3.34502662,0.967729948,,,0.0001,0.167329479
19,278.70517488088126,285.3018096139773,delta,Baseline,0.25504777,0.70134517,,,,
19,279.178243189158,292.37151265535016,delta_PVL,Baseline,0.196348443,0.334406914,0.0001,4.9999,,
19,279.53854121673254,289.43349331637666,delta_asymmetric,Baseline,0.42684423,0.13350565,,,0.9999,
19,279.8734130310644,286.4700477641604,decay,Baseline,0.0001,0.431190492,,,,
19,279.5808267168851,292.77409618307723,decay_PVL,Baseline,0.0869414964,0.113510398,0.0001,4.9999,,
19,279.8730133385308,286.46964807162686,decay_win,Baseline,0.0001,0.619381408,,,,
19,281.7793212691657,294.9725907353578,delta_asymmetric_decay_win,Baseline,0.41323856,0.13350578,,,0.9999,0.9999
19,279.8725788846283,286.4692136177244,delta,Frequency,0.0001,0.0001,,,,
19,283.8691882122216,297.0624576784137,delta_PVL,Frequency,0.0133181551,0.9999,0.9999,0.0001,,
19,281.8725786877642,291.7675307874083,delta_asymmetric,Frequency,0.0001,0.0001,,,0.0001,
19,279.87464249271807,286.47127722581416,decay,Frequency,0.0001,0.828484544,,,,
19,283.4247420253172,296.6180114915093,decay_PVL,Frequency,0.0585601511,0.643773283,0.0001,4.9999,,
19,279.87466575716326,286.4713004902593,decay_win,Frequency,0.0001,0.982458452,,,,
19,283.87074599559145,297.0640154617836,delta_asymmetric_decay_win,Frequency,0.00912068,0.9999,,,0.81567383,0.9999
20,279.8725804270197,286.4692151601158,delta,Baseline,0.0001,0.0001,,,,
20,283.8725781043632,297.0658475705553,delta_PVL,Baseline,0.0001,0.0001,0.0001,0.0001,,
20,281.59037590928176,291.4853280089259,delta_asymmetric,Baseline,0.12236342,0.00142436,,,0.9999,
20,279.8036847278885,286.4003194609846,decay,Baseline,0.00394935,0.0001,,,,
20,280.94613741780864,294.1394068840008,decay_PVL,Baseline,0.02574573,0.0001,0.0001,0.0001,,
20,279.8725960661737,286.4692307992698,decay_win,Baseline,0.0001,0.0001,,,,
20,278.1472122149607,291.3404816811528,delta_asymmetric_decay_win,Baseline,0.358835541,0.0001,,,0.0001,0.790773251
20,261.531852868268,268.1284876013641,delta,Frequency,4.9999,0.00049449298,,,,
20,235.87668085212528,249.0699503183174,delta_PVL,Frequency,2.07535608,0.0217893,0.63467196,4.9999,,
20,216.07912850642185,225.97408060606597,delta_asymmetric,Frequency,1.6430417,0.0001,,,0.367744418,
20,229.624884725628,236.22151945872403,decay,Frequency,1.10295117,0.9999,,,,
20,223.28402355984883,236.47729302604097,decay_PVL,Frequency,0.98422616,0.98160158,0.31566101,4.9999,,
20,235.38471019455275,241.9813449276488,decay_win,Frequency,0.80833309,0.5048402,,,,
20,216.86430028324884,230.05756974944097,delta_asymmetric_decay_win,Frequency,4.72703642,0.00119016676,,,0.660233478,0.580210823
21,274.9470019958088,281.54363672890486,delta,Baseline,0.56269084,0.24820887,,,,
21,278.6606971434543,291.8539666096464,delta_PVL,Baseline,0.749425715,0.196433418,0.428563791,0.0001,,
21,275.7437295424275,285.6386816420716,delta_asymmetric,Baseline,0.953642165,0.0001,,,0.23230779,
21,276.41644201712325,283.01307675021934,decay,Baseline,0.03422533,0.00828432,,,,
21,279.16960475356007,292.3628742197522,decay_PVL,Baseline,0.0253609306,0.0185358394,0.0001,4.9999,,
21,276.9908743543587,283.5875090874548,decay_win,Baseline,0.08891038,0.04565388,,,,
21,277.41526987425016,290.6085393404423,delta_asymmetric_decay_win,Baseline,0.735119176,0.0001,,,0.815033133,0.947244125
21,277.2234194781842,283.8200542112803,delta,Frequency,4.69041658,0.0001,,,,
21,281.13398806705544,294.3272575332476,delta_PVL,Frequency,4.77268514,0.0001,0.9999,0.0001,,
21,279.21036966362664,289.10532176327075,delta_asymmetric,Frequency,3.25051738,0.0001,,,0.000515277415,
