Subnum,Condition,EstA,EstB,EstC,EstD,A_Confidence,B_Confidence,C_Confidence,D_Confidence,Phase
24,Baseline,0.82,1.12,1.02,0.63,3.0,3.0,5.0,5.0,7
24,Frequency,0.6,0.63,0.4,0.82,5.0,5.0,5.0,6.0,1
24,Frequency,1.02,0.63,0.63,0.82,5.0,5.0,3.0,3.0,2
24,Frequency,1.02,0.63,1.12,0.82,5.0,5.0,3.0,3.0,3
24,Frequency,1.4,0.63,0.63,0.82,5.0,5.0,3.0,3.0,4
24,Frequency,1.4,0.63,0.63,0.82,5.0,5.0,3.0,3.0,5
24,Frequency,1.02,0.63,1.12,0.82,5.0,5.0,3.0,3.0,6
24,Frequency,1.02,0.63,0.63,0.82,5.0,5.0,3.0,3.0,7
25,Baseline,2.0,7.0,6.0,7.0,2.0,7.0,6.0,7.0,1
25,Baseline,2.0,7.0,2.0,6.0,2.0,7.0,2.0,6.0,2
25,Baseline,2.0,7.0,1.0,8.0,2.0,7.0,1.0,8.0,3
25,Baseline,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,4
25,Baseline,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,5
25,Baseline,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,6
25,Baseline,0.0,10.0,4.0,7.0,,10.0,4.0,7.0,7
25,Frequency,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,1
25,Frequency,8.0,3.0,7.0,4.0,8.0,3.0,7.0,4.0,2
25,Frequency,9.0,2.0,6.0,4.0,9.0,2.0,6.0,4.0,3
25,Frequency,9.0,1.0,5.0,5.0,9.0,1.0,5.0,5.0,4
25,Frequency,9.0,1.0,6.0,4.0,9.0,1.0,6.0,4.0,5
25,Frequency,9.0,1.0,6.0,4.0,9.0,1.0,6.0,4.0,6
25,Frequency,8.0,3.0,9.0,5.0,8.0,3.0,9.0,5.0,7
