"SubjID","ChoiceSet","Condition","PropOptimal","RT"
73,"AD","LossesEF",0.76,847.8
73,"BD","LossesEF",0,1005.4
74,"AB","Gains",0.21,1210.58
74,"CD","Gains",0.1,965.52
74,"CA","Gains",0.92,1061.56
74,"CB","Gains",0.12,1153.16
74,"AD","Gains",0.08,720.52
74,"BD","Gains",0.8,935.96
75,"AB","LossesEF",0.3,1405.92
75,"CD","LossesEF",0.68,1311.8
75,"CA","LossesEF",0,1649.6
75,"CB","LossesEF",1,2062.6
75,"AD","LossesEF",1,3246.8
75,"BD","LossesEF",0,1884.92
76,"AB","Losses",0.04,1723.81
76,"CD","Losses",0.06,1640.72
76,"CA","Losses",0.44,2276.24
76,"CB","Losses",0.12,899.2
76,"AD","Losses",0.4,1826.56
76,"BD","Losses",0.44,1611.68
77,"AB","GainsEF",0.533333333333333,862.226666666667
77,"CD","GainsEF",0.933333333333333,932.773333333333
77,"CA","GainsEF",0.96,1409.2
77,"CB","GainsEF",1,1233.28
77,"AD","GainsEF",1,1745.2
77,"BD","GainsEF",1,1425.8
78,"AB","Losses",0.75,3072.4
78,"CD","Losses",0.8,1447.42
78,"CA","Losses",0.76,1109.92
78,"CB","Losses",0.76,1349.68
78,"AD","Losses",0.24,1372.88
78,"BD","Losses",0.56,1574.72
79,"AB","Gains",0.64,2075.59
79,"CD","Gains",0.64,2786.12
79,"CA","Gains",0.92,1072.76
79,"CB","Gains",0.88,1615.04
79,"AD","Gains",1,1288.28
79,"BD","Gains",1,1225.64
80,"AB","GainsEF",1,1229.66666666667
80,"CD","GainsEF",0,1145.90666666667
80,"CA","GainsEF",0,1362.12
80,"CB","GainsEF",1,1640.48
80,"AD","GainsEF",1,1460.08
80,"BD","GainsEF",0,1178.04
81,"AB","Gains",0.68,1643.02
81,"CD","Gains",0.64,1478
81,"CA","Gains",0,1825.96
81,"CB","Gains",0.04,1065.08
81,"AD","Gains",0.88,1013.64
81,"BD","Gains",0.92,1871.36
82,"AB","GainsEF",0.573333333333333,1123.46666666667
82,"CD","GainsEF",0.786666666666667,1212.81333333333
82,"CA","GainsEF",0.52,940.52
82,"CB","GainsEF",0.64,1108.28
82,"AD","GainsEF",0.88,1083.88
82,"BD","GainsEF",0.64,1382.6
83,"AB","GainsEF",0.653333333333333,943.866666666667
83,"CD","GainsEF",0.666666666666667,1013.85333333333
83,"CA","GainsEF",0.4,1250.48
83,"CB","GainsEF",0.88,1361.08
83,"AD","GainsEF",0.84,1089.96
83,"BD","GainsEF",0.64,1549.16
84,"AB","GainsEF",0.68,1166.52
84,"CD","GainsEF",0.693333333333333,1259.89333333333
84,"CA","GainsEF",0.24,1170.6
84,"CB","GainsEF",0.28,1086.08
84,"AD","GainsEF",0.6,1265.36
84,"BD","GainsEF",0.84,1008.44
85,"AB","Gains",0.76,1454.1
85,"CD","Gains",0.86,1681.4
85,"CA","Gains",0.64,1267.2
85,"CB","Gains",1,1344.32
85,"AD","Gains",0.8,1452.4
85,"BD","Gains",0.24,1613.88
86,"AB","LossesEF",0.61,1842.7
86,"CD","LossesEF",0.5,2339.6
86,"CA","LossesEF",0.68,1271.6
86,"CB","LossesEF",0.48,1074.36
86,"AD","LossesEF",0.68,1290.2
86,"BD","LossesEF",0.36,1412.2
87,"AB","LossesEF",0.63,1331.49
87,"CD","LossesEF",0.36,1236.02
87,"CA","LossesEF",0.48,1327.36
87,"CB","LossesEF",0.76,1468.48
87,"AD","LossesEF",0.4,1257.64
87,"BD","LossesEF",0.36,1340.12
88,"AB","GainsEF",0.706666666666667,1267.30666666667
88,"CD","GainsEF",0.853333333333333,1139.56
88,"CA","GainsEF",0.8,1337.52
88,"CB","GainsEF",1,1104.2
88,"AD","GainsEF",0.68,1207.32
88,"BD","GainsEF",0,1182.56
89,"AB","LossesEF",0.53,1192.4
89,"CD","LossesEF",0.38,1819.6
89,"CA","LossesEF",0.28,1246.72
89,"CB","LossesEF",0.52,1535.84
89,"AD","LossesEF",0.52,1030.2
89,"BD","LossesEF",0.2,1432.68
90,"AB","Losses",0.62,1076.64
90,"CD","Losses",0.54,1165.06
90,"CA","Losses",0.2,856.76
90,"CB","Losses",0.72,1348.88
90,"AD","Losses",0.84,982.44
90,"BD","Losses",0.56,1270.6
91,"AB","LossesEF",0.65,810.07
91,"CD","LossesEF",0.52,930.4
91,"CA","LossesEF",0,1133.56
91,"CB","LossesEF",1,1078.36
91,"AD","LossesEF",1,1137.24
91,"BD","LossesEF",0,1563.64
92,"AB","LossesEF",0.64,872.08
92,"CD","LossesEF",0.84,1093.16
92,"CA","LossesEF",0.96,1436.84
92,"CB","LossesEF",1,1045.32
92,"AD","LossesEF",1,771.32
92,"BD","LossesEF",1,921.56
93,"AB","Gains",0.47,1160.17
93,"CD","Gains",0.56,1058.6
93,"CA","Gains",0.76,1485.24
93,"CB","Gains",0.92,921.92
93,"AD","Gains",0.8,1160.64
93,"BD","Gains",0.16,1164.36
94,"AB","Losses",0.63,1338.63
94,"CD","Losses",0.86,1384.26
94,"CA","Losses",0.08,1281.44
94,"CB","Losses",1,1386.8
94,"AD","Losses",1,1209.96
94,"BD","Losses",0,1687.96
95,"AB","Losses",0.7,1393.51
95,"CD","Losses",0.7,1685.58
95,"CA","Losses",0.96,1447.4
95,"CB","Losses",1,1759.56
95,"AD","Losses",1,1412.52
95,"BD","Losses",0.96,1722.4
96,"AB","LossesEF",0.58,1008.17
96,"CD","LossesEF",0.7,1231.82
96,"CA","LossesEF",0.88,1724.84
96,"CB","LossesEF",1,2980.2
96,"AD","LossesEF",0.44,1969.32
96,"BD","LossesEF",0.08,2198.92
97,"AB","LossesEF",0.7,951.89
97,"CD","LossesEF",0.3,1072.74
97,"CA","LossesEF",0,642.96
97,"CB","LossesEF",0.04,692.36
97,"AD","LossesEF",0.92,691.28
97,"BD","LossesEF",0.88,729.76
98,"AB","LossesEF",0.86,977.67
98,"CD","LossesEF",0.48,1311.4
98,"CA","LossesEF",0.08,1196.68
98,"CB","LossesEF",0.88,1474.16
98,"AD","LossesEF",1,1109.16
98,"BD","LossesEF",1,1375.52
99,"AB","LossesEF",0.27,1175.02
99,"CD","LossesEF",0.44,1449.74
99,"CA","LossesEF",1,1157.16
99,"CB","LossesEF",0.96,1172.96
99,"AD","LossesEF",0,1521.88
99,"BD","LossesEF",1,1360.8
100,"AB","Gains",0.75,1070.45
100,"CD","Gains",0.66,1332.7
100,"CA","Gains",0.04,1833.08
100,"CB","Gains",0.92,1879.28
100,"AD","Gains",1,1128
100,"BD","Gains",1,2172.64
101,"AB","Losses",0.53,2872.43
101,"CD","Losses",0.46,3670.06
101,"CA","Losses",0.88,1520.2
101,"CB","Losses",0.96,1578.4
101,"AD","Losses",0.92,1520.76
101,"BD","Losses",0.12,1729.16
102,"AB","LossesEF",0.57,1517.32
102,"CD","LossesEF",0.42,1588.18
102,"CA","LossesEF",0.2,2009.52
102,"CB","LossesEF",0.56,1652
102,"AD","LossesEF",0.48,2161.96
102,"BD","LossesEF",0.28,2003.28
103,"AB","GainsEF",0.853333333333333,850.32
103,"CD","GainsEF",0.466666666666667,1079.34666666667
103,"CA","GainsEF",0.96,809.08
103,"CB","GainsEF",1,950.28
103,"AD","GainsEF",0.08,803.6
103,"BD","GainsEF",0,807.76
104,"AB","GainsEF",0.666666666666667,1538.25333333333
104,"CD","GainsEF",0.546666666666667,1517.57333333333
104,"CA","GainsEF",0.44,1667.32
104,"CB","GainsEF",0.72,1471.48
104,"AD","GainsEF",1,1401.96
104,"BD","GainsEF",0.8,1427.12
105,"AB","Gains",0.7,1357.73
105,"CD","Gains",0.6,1451.38
105,"CA","Gains",0,752.92
105,"CB","Gains",0.96,1537.64
105,"AD","Gains",1,862.92
105,"BD","Gains",1,1370.52
106,"AB","Gains",0.35,849.49
106,"CD","Gains",0.68,1166.14
106,"CA","Gains",0.04,815.16
106,"CB","Gains",0.04,685.92
106,"AD","Gains",0.88,712.36
106,"BD","Gains",0.96,697
107,"AB","LossesEF",0.75,2173.11
107,"CD","LossesEF",0.66,2579.32
107,"CA","LossesEF",1,712.96
107,"CB","LossesEF",1,701.32
107,"AD","LossesEF",0.88,927.48
107,"BD","LossesEF",0.76,1073
108,"AB","Gains",0.76,1176.96
108,"CD","Gains",0.76,1261.62
108,"CA","Gains",0.84,1110.84
108,"CB","Gains",1,1340.84
108,"AD","Gains",0.32,1137.48
108,"BD","Gains",0,903.52
109,"AB","Losses",0.85,1093.37
109,"CD","Losses",0.76,1189.16
109,"CA","Losses",1,1201.72
109,"CB","Losses",1,1326.52
109,"AD","Losses",0.88,1387.28
109,"BD","Losses",0,1328.28
110,"AB","LossesEF",0.51,2471.76
110,"CD","LossesEF",0.74,2524.6
110,"CA","LossesEF",0.44,2231.04
110,"CB","LossesEF",0.36,1313.32
110,"AD","LossesEF",0.56,1882.8
110,"BD","LossesEF",0.84,2018.28
111,"AB","Gains",0.89,1048.26
111,"CD","Gains",0.92,1200.46
111,"CA","Gains",0.96,1984.08
111,"CB","Gains",1,1861.68
111,"AD","Gains",1,1859.8
111,"BD","Gains",1,2269.2
112,"AB","Losses",0.94,1073.03
112,"CD","Losses",0.86,1118.24
112,"CA","Losses",0.84,1382.48
112,"CB","Losses",1,1144.72
112,"AD","Losses",0.92,1382.24
112,"BD","Losses",0,1505.8
113,"AB","LossesEF",0.63,1334.18
113,"CD","LossesEF",0.32,1252.7
113,"CA","LossesEF",0.8,1175.08
113,"CB","LossesEF",0.4,1299.96
113,"AD","LossesEF",0.2,924.8
113,"BD","LossesEF",0.56,1162.4
114,"AB","LossesEF",0.11,1161.35
114,"CD","LossesEF",0.86,1047.98
114,"CA","LossesEF",0.72,913.44
114,"CB","LossesEF",0.56,734.16
114,"AD","LossesEF",0.56,1064.52
114,"BD","LossesEF",0.6,1085.32
115,"AB","LossesEF",0.43,1217.57
115,"CD","LossesEF",0.52,1406.5
115,"CA","LossesEF",0.88,1256.4
115,"CB","LossesEF",0.96,1179.52
115,"AD","LossesEF",0.92,1427.6
115,"BD","LossesEF",0.12,1528.08
116,"AB","Gains",0.84,993.72
116,"CD","Gains",0.9,1258.5
116,"CA","Gains",0.12,929.36
116,"CB","Gains",0.08,852.68
116,"AD","Gains",0.68,1052.24
116,"BD","Gains",0.76,849.16
